trajectory_id,task_id,task_code,task_name,label,outer_role,inner_role,source_type,source_dataset,source_trajectory_id,origin_sequence_id,historical_source_trajectory_id,environment_seed,source_relative_path,num_replan_steps,common_length
v1completed_L3_new_000,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,TRAIN,INNER_TRAIN,v1_new_collection,V1补齐版本,v1completed_L3_new_000,v1completed_L3_new_000,,608150500,V1补齐版本/generated_v1_assets/L3/v1completed_L3_new_000,150,83
v1completed_L3_replay_000,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_000,v1completed_L3_replay_000,L3-conformal-rep03-init01,608150301,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_000,111,83
v1completed_L3_replay_001,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_001,v1completed_L3_replay_001,L3-conformal-rep03-init07,608150307,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_001,150,83
v1completed_L3_replay_002,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_002,v1completed_L3_replay_002,L3-test-rep04-init00,608150400,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_002,150,83
v1completed_L3_replay_003,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_003,v1completed_L3_replay_003,L3-test-rep04-init02,608150402,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_003,150,83
v1completed_L3_replay_004,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_004,v1completed_L3_replay_004,L3-train-rep00-init04,608150004,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_004,150,83
v1completed_L3_replay_005,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_005,v1completed_L3_replay_005,L3-train-rep01-init08,608150108,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_005,150,83
v1completed_L3_replay_006,0,L3,open_the_top_drawer_and_put_the_bowl_inside,0,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_006,v1completed_L3_replay_006,L3-validation-rep02-init02,608150202,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_006,92,83
v1completed_L3_replay_007,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_007,v1completed_L3_replay_007,ood-robot-L3-0415,608150012,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_007,150,83
v1completed_L3_replay_008,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_008,v1completed_L3_replay_008,ood-robot-L3-0425,608150003,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_008,150,83
v1completed_L3_replay_009,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_009,v1completed_L3_replay_009,ood-robot-L3-0433,608150018,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_009,150,83
v1completed_L3_replay_010,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_010,v1completed_L3_replay_010,ood-robot-L3-0438,608150019,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_010,150,83
v1completed_L3_replay_011,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,TRAIN,INNER_TRAIN,v1_replay,V1补齐版本,v1completed_L3_replay_011,v1completed_L3_replay_011,ood-robot-L3-0440,608150011,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_011,150,83
v1completed_L3_replay_012,0,L3,open_the_top_drawer_and_put_the_bowl_inside,1,SEEN_EVAL,,v1_replay,V1补齐版本,v1completed_L3_replay_012,v1completed_L3_replay_012,ood-robot-L3-0441,608150016,V1补齐版本/generated_v1_assets/L3/v1completed_L3_replay_012,150,83
